state,city,area_code,ao_type,range_code,ao_number,ao_description,category
Andaman and Nicobar Islands,Andaman & Nicobar,WBG,C,101,91,"CIRCLE 3(2), PORT BLAIR/",Both
Andaman and Nicobar Islands,Andaman & Nicobar,WBG,W,101,93,"WARD 3(4), PORT BLAIR/",Both
Andhra Pradesh,Adoni,APR,W,77,5,"WARD 1,ADONI",Both
Andhra Pradesh,Amalapuram,APR,W,90,4,"WARD 1,AMALAPURAM",Non-Individual
Andhra Pradesh,Anakapalle,APR,W,84,91,"WARD 1, ANAKAPALLE/",Both
Andhra Pradesh,Anantapur,APR,W,77,91,"WARD 1,ANANTAPUR/",Both
Andhra Pradesh,Bapatla,APR,W,79,10,"WARD-1, BAPATLA",Both
Andhra Pradesh,Bhimavaram,APR,W,116,2,"WARD - 1, BHIMAVARAM",Both
Andhra Pradesh,Chirala,APR,W,79,11,"WARD-1, CHIRALA",Both
Andhra Pradesh,Chittoor,APR,W,81,3,"WARD 1,CHITTOOR",Both
Andhra Pradesh,Eluru,APR,W,116,5,"WARD-1, ELURU",Both
Andhra Pradesh,Gudiwada,APR,W,74,5,"WARD 1, GUDIWADA",Both
Andhra Pradesh,Gudur,APR,W,81,8,"WARD-1, GUDUR",Both
Andhra Pradesh,Guntakal,APR,W,77,92,"WARD 1,GUNTAKAL/",Both
Andhra Pradesh,Guntur,APR,C,78,1,"CIRCLE 1(1),GUNTUR",Both
Andhra Pradesh,Guntur,APR,C,79,1,"CIRCLE 2(1),GUNTUR",Both
Andhra Pradesh,Guntur,APR,W,78,1,"WARD 1(1),GUNTUR",Both
Andhra Pradesh,Guntur,APR,W,79,1,"WARD 2(1),GUNTUR",Both
Andhra Pradesh,Hindupur,APR,W,77,93,"WARD 1,HINDUPUR/",Both
Andhra Pradesh,Kadapa,APR,W,80,91,"ITO WARD-1,KADAPA/",Both
Andhra Pradesh,Kakinada,APR,C,90,1,"CIRCLE 1,KAKINADA",Both
Andhra Pradesh,Kakinada,APR,W,90,1,"WARD 1,KAKINADA",Both
Andhra Pradesh,Kurnool,APR,C,77,1,"CIRCLE 1,KURNOOL",Both
Andhra Pradesh,Kurnool,APR,W,77,1,"WARD 1,KURNOOL",Both
Andhra Pradesh,Machilipatnam,APR,W,75,5,"WARD 1,MACHILIPATNAM",Both
Andhra Pradesh,Madanapalle,APR,W,81,5,"WARD 1,MADANAPALLE",Both
Andhra Pradesh,Nandyal,APR,W,77,3,"WARD 1,NANDYAL",Both
